id,code,name,active
company_activity_452006,452006,ACTIVIDADES DE CONSTRUCCION ESPECIALES,TRUE
company_activity_453001,453001,REPARACION DE AIRE ACONDICIONADO,TRUE
company_activity_453002,453002,REPARACION  DE ASCENSORES(ELEVADORES),TRUE
company_activity_453003,453003,VENTA E INSTALACION DE ALARMAS Y OTROS SISTEMAS ELECTRICOS,TRUE
company_activity_453004,453004,REPARACION DE CABLEADO DE COMUNICACIONES,TRUE
company_activity_453005,453005,INSTALACION DE ALARMAS Y OTROS SISTEMAS DE SEGURIDAD,TRUE
company_activity_453006,453006,INSTALACION Y MANTENIMIENTO DE AIRE ACONDICIONADO,TRUE
company_activity_453007,453007,INSTALACION Y MANTENIMIENTO DE ASCENSORES (ELEVADORES),TRUE
company_activity_453008,453008,INSTALACION Y MANTENIMIENTO DE CABLEADO DE COMUNICACIONES Y/O ENERGIA ELECTRICA,TRUE
company_activity_453009,453009,REPARACION DE PORTONES ELECTRICOS,TRUE
company_activity_453010,453010,INSTALACION Y MANTENIMIENTO DE PORTONES ELECTRICOS,TRUE
company_activity_453011,453011,INSTALACION Y MANTENIMIENTO DE CONMUTADORES Y OTROS SISTEMAS PARA TELECOMUNICACI,TRUE
company_activity_454001,454001,SERVICIOS DE TERMINACION Y ACABADO DE EDIFICIOS,TRUE
company_activity_455001,455001,ALQUILER DE EQUIPO DE CONSTRUCCION O DEMOLICION CON OPERADORES,TRUE
company_activity_501001,501001,VENTA AL POR MAYOR Y MENOR DE VEHICULOS NUEVOS Y/O USADOS (PARTIDAS ARANCELARIAS 8702 Y 8704),TRUE
company_activity_501002,501002,"VENTA AL POR MAYOR Y MENOR DE VEHICULOS NUEVOS Y/O USADOS, EXCEPTO PARTIDAS ARANCELARIAS 8702 Y 8704",TRUE
company_activity_502001,502001,"LAVADO, ENCERADO Y PULIDO DE AUTOMOVILES (LAVA CAR)",TRUE
company_activity_502002,502002,SERVICIOS DE  ALINEAMIENTO Y REPARACION DE LLANTAS,TRUE
company_activity_502003,502003,SERVICIO DE REPARACION DE TODA CLASE DE VEHICULOS Y SUS PARTES,TRUE
company_activity_502004,502004,SERVICIO DE ENDEREZADO Y PINTURA PARA TODA CLASE DE VEHICULO,TRUE
company_activity_502007,502007,AUTODECORACION,TRUE
company_activity_502008,502008,SERVICIO DE REVISION TECNICA VEHICULAR(DIAGNOSTICOS POR ESCANER),TRUE
company_activity_503002,503002,VENTA DE REPUESTOS USADOS PARA AUTOMOVILES,TRUE
company_activity_503004,503004,VENTA DE REPUESTOS NUEVOS PARA AUTOMOVILES,TRUE
company_activity_503005,503005,COMERCIALIZACION DE LLANTAS (NEUMATICAS) PARA VEHICULOS AUTOMOTORES,TRUE
company_activity_503006,503006,ACTIVIDADES DE DESARME DE VEHICULOS Y VENTA DE REPUESTOS,TRUE
company_activity_504001,504001,VENTA DE MOTOCICLETAS,TRUE
company_activity_504003,504003,VENTA DE PARTES O ACCESORIOS DE MOTOCICLETAS,TRUE
company_activity_504004,504004,SERVICIO DE REPARACION DE TODA CLASE DE MOTOCICLETAS Y SUS PARTES,TRUE
company_activity_505001,505001,VENTA DE COMBUSTIBLES (CONOCIDAS COMO GASOLINERAS O BOMBAS),TRUE
